path	top_level_tree	size_bytes	reachability	phase2_verdict	phase3_disposition	recommendation_ids	confidence	signals
ECM_ActivityHub_Portal/js/services/kpi.js	ECM_ActivityHub_Portal	457	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/meetings.js	ECM_ActivityHub_Portal	1867	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/minutes.js	ECM_ActivityHub_Portal	1967	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/ops.js	ECM_ActivityHub_Portal	1686	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/projects.js	ECM_ActivityHub_Portal	818	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/tasks.js	ECM_ActivityHub_Portal	1844	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/utils/fn.js	ECM_ActivityHub_Portal	848	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/utils/toast.js	ECM_ActivityHub_Portal	359	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/components/modals.js	ECM_ActivityHub_Portal	19736	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/components/ui.js	ECM_ActivityHub_Portal	3151	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/header.js	ECM_ActivityHub_Portal	1242	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/layout.js	ECM_ActivityHub_Portal	1894	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/admin.js	ECM_ActivityHub_Portal	1425	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/ai.js	ECM_ActivityHub_Portal	1293	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal	1985	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/audit.js	ECM_ActivityHub_Portal	1401	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/briefs.js	ECM_ActivityHub_Portal	2242	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/dashboard.js	ECM_ActivityHub_Portal	2472	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/decisions.js	ECM_ActivityHub_Portal	1476	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/directory.js	ECM_ActivityHub_Portal	1346	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/inbox.js	ECM_ActivityHub_Portal	3495	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/inward.js	ECM_ActivityHub_Portal	2161	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/kpi.js	ECM_ActivityHub_Portal	1253	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/meetings.js	ECM_ActivityHub_Portal	2614	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/minutes.js	ECM_ActivityHub_Portal	2191	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/notfound.js	ECM_ActivityHub_Portal	1145	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/notifications.js	ECM_ActivityHub_Portal	1738	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/outward.js	ECM_ActivityHub_Portal	2115	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/projects.js	ECM_ActivityHub_Portal	2368	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/reports.js	ECM_ActivityHub_Portal	942	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/pages/tasks.js	ECM_ActivityHub_Portal	2267	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	shared-lineage | byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/router.js	ECM_ActivityHub_Portal	2037	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/views/sidebar.js	ECM_ActivityHub_Portal	3575	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/powerAutomateClient.js	ECM_ActivityHub_Portal	1389	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_DOCS_DEV.zip	root runtime	16783981	test-reachable	load-bearing-archive	rotate-decouple-then-untrack	R-01 | R-02	high	declared-obsolete-by-another-tracked-file | tracked-archive | read-at-runtime-by-tracked-script
FORENSIC_REPOSITORY_AUDIT.md	root runtime	21013	documentation-referenced	stale-content-review	correct-stale-claim	R-06	low	carries-stale-outbound-references
LICENSE	root runtime	991	legal-or-license	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
PLATFORM_DOCUMENTATION.md	root runtime	17532	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
README.md	root runtime	12092	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
REPOSITORY_AUDIT.md	root runtime	16416	documentation-referenced	stale-content-review	correct-stale-claim	R-06	low	carries-stale-outbound-references
STATUS_REPORT.md	root runtime	9064	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
assets/dgo-mark.svg	assets	329	asset-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/acknowledgement-flow.config.js	config	1023	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/action-ownership.config.js	config	8119	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/action-routing.config.js	config	20851	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/activity-parity.config.js	config	2808	runtime-reachable	stale-content-review	correct-stale-claim	R-04	low	byte-identical-copy-inside-tracked-archive | carries-stale-outbound-references
config/app.config.js	config	621	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/assignment-cascade.config.js	config	3808	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/auth.config.js	config	4953	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
config/browser-certification.config.js	config	1309	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/cache-policy.config.js	config	725	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/config.example.js	config	3087	config-template	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/correspondence-email-templates.config.js	config	4532	config-template	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/deeplink.config.js	config	1322	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/dynamic-actions.config.js	config	4764	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/endpoints.config.js	config	5881	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/fetch-policy.config.js	config	1303	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/module-boundaries.config.js	config	6494	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/nav.config.js	config	605	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/navigation-relationships.config.js	config	3976	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/performance-budget.config.js	config	284	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/platform-provisioning.config.js	config	17456	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/priority.config.js	config	1524	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/product-definition.config.json	config	2284	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/rbac.config.js	config	3804	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/receipt-ledger.config.js	config	445	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/routes.config.js	config	3340	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/source-routing.config.js	config	4089	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/source-views.config.js	config	1285	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/state-schema.config.js	config	755	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/support-routing.config.js	config	1061	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/welcome-experience.config.js	config	2684	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
config/workflow-clarity.config.js	config	7322	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/acknowledgement-service.js	core	10927	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
core/action-authority.js	core	2869	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
core/action-runtime.js	core	1501	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/activity-parity.js	core	16779	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/api.js	core	1751	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/archive.js	core	3254	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/assignment-cascade.js	core	10446	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/assignment-payload.js	core	9376	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/audit-log.js	core	1431	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/auth.js	core	7077	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
core/boot.js	core	3692	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/cache-manager.js	core	2893	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/contracts.js	core	2004	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/correspondence-email-service.js	core	10739	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/current-user.js	core	4813	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
core/data-client.js	core	5823	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
core/data-loader.js	core	5338	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/data-reconciler.js	core	955	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/data-selectors.js	core	2869	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/deeplink-resolver.js	core	2046	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/directorate-scope.js	core	1616	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/dispatch-service.js	core	2880	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/domain.js	core	5898	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/endpoint-registry.js	core	4687	runtime-reachable	stale-content-review	correct-stale-claim	R-04	low	byte-identical-copy-inside-tracked-archive | carries-stale-outbound-references
core/enterprise-domain.js	core	7093	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/entity-store.js	core	8930	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/errors.js	core	1853	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/export-bundle.js	core	1157	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/fetch-manager.js	core	1725	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/flow-confirmation.js	core	2275	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/focus-trap.js	core	5078	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/governed-actions.js	core	748	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/idempotency.js	core	1039	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/lifecycle.js	core	2405	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/loading-state.js	core	2306	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/metrics-service.js	core	1201	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/nitda-module-adapter.js	core	6679	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/offline-action-queue.js	core	2072	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/otp-service.js	core	1746	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/pending-queue.js	core	1941	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/performance-monitor.js	core	1651	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/platform-provisioner.js	core	2247	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/query-store.js	core	1059	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/receipt-ledger.js	core	2699	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/render-budget.js	core	1119	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/report-export-service.js	core	4388	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/retention.js	core	970	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/router.js	core	1481	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/security-actions.js	core	1138	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/source-views.js	core	2838	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/state.js	core	3397	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/support-service.js	core	1378	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/ui-interactions.js	core	1805	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/ui-state.js	core	820	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/ui.js	core	9467	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
core/welcome-experience.js	core	24370	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
core/write-manager.js	core	1583	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
docs/forensic/177d992/00-provenance.md	docs	19426	unreferenced-but-plausibly-current	obsolete-superseded	rotate-then-remove-carrier	R-01 | R-05 | R-06	high	inside-directory-declared-superseded | no-incoming-tracked-reference | carries-stale-outbound-references
docs/forensic/177d992/01-architecture.md	docs	16693	documentation-referenced	obsolete-superseded	rotate-then-decide-jointly	R-05 | R-06	high	inside-directory-declared-superseded | carries-stale-outbound-references
docs/forensic/177d992/README.md	docs	593	unreferenced-but-plausibly-current	obsolete-superseded	rotate-then-decide-jointly	R-05	high	self-declared-superseded | inside-directory-declared-superseded | no-incoming-tracked-reference
docs/forensic/177d992/diagrams/01-architecture.mmd	docs	3567	unreferenced-but-plausibly-current	obsolete-superseded	rotate-then-decide-jointly	R-05 | R-06	high	inside-directory-declared-superseded | no-incoming-tracked-reference | carries-stale-outbound-references
docs/forensic/18e9f4d/00-provenance.md	docs	23021	unreferenced-but-plausibly-current	unreferenced-review	rotate-then-remove-carrier	R-01 | R-06 | R-07	low	no-incoming-tracked-reference | carries-stale-outbound-references
docs/forensic/18e9f4d/01-architecture.md	docs	19760	unreferenced-but-plausibly-current	unreferenced-review	owner-decision-required	R-07	low	no-incoming-tracked-reference
docs/forensic/18e9f4d/02-security.md	docs	22744	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
docs/forensic/18e9f4d/03-build-deploy.md	docs	13269	unreferenced-but-plausibly-current	unreferenced-review	owner-decision-required	R-07	low	no-incoming-tracked-reference
docs/forensic/18e9f4d/04-report.md	docs	28848	unreferenced-obsolete-candidate	unreferenced-review	owner-decision-required	R-07	low	no-incoming-tracked-reference
docs/forensic/18e9f4d/diagrams/01-architecture.mmd	docs	3860	unreferenced-but-plausibly-current	unreferenced-review	owner-decision-required	R-07	low	no-incoming-tracked-reference
