referrer	line	referenced_token	classification	resolved_to	gitignore_pattern	quote
AUDIT.md	88	ECM_ActivityHub_Portal/htdocs/js/controllers/actions.js	stale-reference	(none)	(none)	| F-002 | In-browser role switching alters effective claim sent to backend | Critical | `ECM_ActivityHub_Portal/htdocs/js/controllers/actions.js` | 39-42 | A UI action flips role between `DGCEO` and `
AUDIT.md	89	ECM_ActivityHub_Portal/htdocs/js/api/client.js	stale-reference	(none)	(none)	| F-003 | Backend call envelope trusts mutable browser claims | Critical | `ECM_ActivityHub_Portal/htdocs/js/api/client.js` | 5-10 | Every API call includes `user`/`role` taken directly from `Store.au
AUDIT.md	90	ECM_ActivityHub_Portal/htdocs/js/views/sidebar.js	stale-reference	(none)	(none)	| F-004 | Admin/privileged navigation visible without route guard | Medium | `ECM_ActivityHub_Portal/htdocs/js/views/sidebar.js` | 28-31 | Admin routes are always rendered; no role-based visibility ch
AUDIT.md	91	ECM_ActivityHub_Portal/htdocs/js/core/router.js	stale-reference	(none)	(none)	| F-005 | Route engine has no authorization gate | Medium | `ECM_ActivityHub_Portal/htdocs/js/core/router.js` | 22-26 | Router sets route and renders without any authz predicate. | Add route guard mid
AUDIT.md	92	ECM_ActivityHub_Portal/htdocs/js/core/config.js	stale-reference	(none)	(none)	| F-006 | Defined action `TASK_COMPLETE` is never used | Low | `ECM_ActivityHub_Portal/htdocs/js/core/config.js` / `ECM_ActivityHub_Portal/htdocs/js/services/tasks.js` | 47 / 39-40 | `TASK_COMPLETE` e
AUDIT.md	92	ECM_ActivityHub_Portal/htdocs/js/services/tasks.js	stale-reference	(none)	(none)	| F-006 | Defined action `TASK_COMPLETE` is never used | Low | `ECM_ActivityHub_Portal/htdocs/js/core/config.js` / `ECM_ActivityHub_Portal/htdocs/js/services/tasks.js` | 47 / 39-40 | `TASK_COMPLETE` e
AUDIT.md	93	ECM_ActivityHub_Portal/htdocs/powerAutomateClient.js	stale-reference	(none)	(none)	| F-007 | Secret/token exposure check for `sig=` in shipped code | Low | `ECM_ActivityHub_Portal/htdocs/js/core/config.js` / `ECM_ActivityHub_Portal/htdocs/powerAutomateClient.js` | 9 / 7-13 | Review 
AUDIT.md	94	ECM_ActivityHub_Portal/htdocs/js/views/components/modals.js	stale-reference	(none)	(none)	| F-008 | Suspected modal XSS (unescaped `${...}`) in `modals.js` | Low | `ECM_ActivityHub_Portal/htdocs/js/views/components/modals.js` / `ECM_ActivityHub_Portal/htdocs/js/utils/fn.js` | 13-14 / 22-29
AUDIT.md	94	ECM_ActivityHub_Portal/htdocs/js/utils/fn.js	stale-reference	(none)	(none)	| F-008 | Suspected modal XSS (unescaped `${...}`) in `modals.js` | Low | `ECM_ActivityHub_Portal/htdocs/js/views/components/modals.js` / `ECM_ActivityHub_Portal/htdocs/js/utils/fn.js` | 13-14 / 22-29
CAPABILITY_ASSESSMENT_R11.6.md	45	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	With the 13 missing config modules restored from `ECM_DOCS_DEV.zip`, a headless Chromium boot produced `window.__DGO_BOOTED__ === true`, a mounted `<dgo-shell>`, 17 primary navigation entries, and exa
CAPABILITY_ASSESSMENT_R11.6.md	139	newack/unified-hub-ackflow.html	resolves-inside-tracked-archive	DGO_Targets_References/newack/unified-hub-ackflow.html	(none)	| `newack/unified-hub-ackflow.html` | 6 | **Yes** |
CAPABILITY_ASSESSMENT_R11.6.md	140	Consolidate_Merged_Folder_Files_Embed/Extract_NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	stale-reference	(none)	(none)	| `Consolidate_Merged_Folder_Files_Embed/Extract_NITDA_operations_manifest_ai_ready_UNREDACTED-1.json` | 7 | No |
CAPABILITY_ASSESSMENT_R11.6.md	142	document-portal_Central_NITDA_/js/data.js	stale-reference	(none)	(none)	| `document-portal_Central_NITDA_/js/data.js` | 3 | **Yes** |
CAPABILITY_ASSESSMENT_R11.6.md	143	experience/reference-portal/assets/common.js	stale-reference	(none)	(none)	| `Bespoke platform welcome experience/reference-portal/assets/common.js` | 2 | **Yes** |
CAPABILITY_ASSESSMENT_R11.6.md	144	experience/uploads/nitda_intelligent_state.forensic.json	stale-reference	(none)	(none)	| `Bespoke platform welcome experience/uploads/nitda_intelligent_state.forensic.json` | 2 | No |
CAPABILITY_ASSESSMENT_R11.6.md	233	ECM_ActivityHub_Portal/htdocs/index.html	stale-reference	(none)	(none)	**6 of the 8 npm scripts cannot run.** `playwright.config.js` points at `testDir: './tests'`, which does not exist. `scripts/check-links.mjs` (present) targets `ECM_ActivityHub_Portal/htdocs/index.htm
CAPABILITY_ASSESSMENT_R11.6.md	264	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	3. **Add `.gitignore`** covering `config/config.local.js`, `ECM_ActivityHub_Portal/config.local.js`, `node_modules/`, `*.state.json`.
CONTRIBUTING.md	115	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	Local configuration goes in `config/config.local.js` and `ECM_ActivityHub_Portal/config.local.js`. Both are git-ignored — copy the matching `config.example.js` and fill it in. Because they are ignored
CONTRIBUTING.md	115	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	Local configuration goes in `config/config.local.js` and `ECM_ActivityHub_Portal/config.local.js`. Both are git-ignored — copy the matching `config.example.js` and fill it in. Because they are ignored
ECM_ActivityHub_Portal/config.example.js	6	ECM_ActivityHub_Portal/htdocs/config.local.js	git-ignored-by-design	(none)	config/config.local.js	* 1. Copy this file to  ECM_ActivityHub_Portal/htdocs/config.local.js
ECM_ActivityHub_Portal/config.example.js	9	./config.local.js	git-ignored-by-design	(none)	config/config.local.js	* 4. index.html already loads  ./config.local.js  via:
ECM_ActivityHub_Portal/index.html	46	./config.local.js	git-ignored-by-design	(none)	config/config.local.js	<script src="./config.local.js" onerror="void 0"></script>
FORENSIC_REPOSITORY_AUDIT.md	43	newack/dashboard.html	stale-reference	(none)	(none)	1. **One genuine broken link:** `newack/dashboard.html` is referenced from three files and does not exist.
FORENSIC_REPOSITORY_AUDIT.md	61	document-portal_Central_NITDA_/index.html	stale-reference	(none)	(none)	| 4 | **document-portal_Central_NITDA_** | `document-portal_Central_NITDA_/index.html` | 41 | 34 | 7 | 0² | ✅ Complete |
FORENSIC_REPOSITORY_AUDIT.md	63	reference-portal/index.html	stale-reference	(none)	(none)	| 6 | **Bespoke reference-portal** | `…/reference-portal/index.html` | 4 | 4 | 0 | 0 | ✅ Complete |
FORENSIC_REPOSITORY_AUDIT.md	88	assets/dgo-logo.svg	resolves-inside-tracked-archive	DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/assets/dgo-logo.svg | DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/assets/dgo-logo.svg | DGO_Targets_Platform/assets/dgo-logo.svg	(none)	| `assets/dgo-logo.svg` | **OBSOLETE** | Genuinely unreferenced. The shell uses `dgo-mark.svg`. **Delete or wire in.** |
FORENSIC_REPOSITORY_AUDIT.md	114	ds/logo/mark.svg	resolves-inside-tracked-archive	DGO_Targets_Platform/document-portal/ds/logo/mark.svg	(none)	2 assets only in fork A   (ds/logo/mark.svg, ds/logo/nitda-endorsed.svg)
FORENSIC_REPOSITORY_AUDIT.md	114	ds/logo/nitda-endorsed.svg	resolves-inside-tracked-archive	DGO_Targets_Platform/document-portal/ds/logo/nitda-endorsed.svg	(none)	2 assets only in fork A   (ds/logo/mark.svg, ds/logo/nitda-endorsed.svg)
FORENSIC_REPOSITORY_AUDIT.md	159	uploads/nitda_intelligent_state.forensic.json	stale-reference	(none)	(none)	| `uploads/nitda_intelligent_state.forensic.json` | 1 | **MISPLACED** | Forensic export; belongs with audit artefacts |
FORENSIC_REPOSITORY_AUDIT.md	245	newack/unified-hub-ackflow.html	resolves-inside-tracked-archive	DGO_Targets_References/newack/unified-hub-ackflow.html	(none)	| `newack/unified-hub-ackflow.html` | 1 | Superseded standalone variant |
FORENSIC_REPOSITORY_AUDIT.md	263	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	**Not missing, despite appearing absent:** `config/config.local.js` and `ECM_ActivityHub_Portal/config.local.js` are git-ignored by design and correctly 404 on a clean checkout.
FORENSIC_REPOSITORY_AUDIT.md	263	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	**Not missing, despite appearing absent:** `config/config.local.js` and `ECM_ActivityHub_Portal/config.local.js` are git-ignored by design and correctly 404 on a clean checkout.
PLATFORM_DOCUMENTATION.md	271	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	cp config/config.example.js config/config.local.js   # git-ignored
README.md	71	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	`ECM_DOCS_DEV.zip` and writes `config/config.local.js` and
README.md	72	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	`ECM_ActivityHub_Portal/config.local.js` — both git-ignored, so nothing is committed.
REPOSITORY_AUDIT.md	109	Flows_Sample/Compose_Standard_Respons_Fetch_References_and_Lookups_Data_Response.txt	stale-reference	(none)	(none)	| `Flows_Sample/Compose_Standard_Respons_Fetch_References_and_Lookups_Data_Response.txt` | 807 |
REPOSITORY_AUDIT.md	112	document-portal_Central_NITDA_/js/data.js	stale-reference	(none)	(none)	| `document-portal/js/data.js`, `document-portal_Central_NITDA_/js/data.js` | 18 each |
config/activity-parity.config.js	50	tests/activity-source-view-alignment-contract.mjs	stale-reference	(none)	(none)	// Proven by tests/activity-source-view-alignment-contract.mjs.
config/config.example.js	6	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	* 1. Copy this file to  config/config.local.js
config/endpoints.config.js	8	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	//   1. Copy  config/config.example.js  →  config/config.local.js
core/endpoint-registry.js	101	evidence/ENDPOINT_CONTRACT_AUDIT.json	stale-reference	(none)	(none)	message: `${packaged.length} endpoint(s) still resolve to packaged signed URLs. Inject ${MANIFEST_GLOBAL} at deployment time or move to the endpoint broker; see evidence/ENDPOINT_CONTRACT_AUDIT.json f
docs/forensic/177d992/00-provenance.md	73	tests/output-encoding.test.mjs	stale-reference	(none)	(none)	tests/output-encoding.test.mjs precision_auditor_v3.py; do
docs/forensic/177d992/00-provenance.md	353	document-portal_Central_NITDA_/index.html	stale-reference	(none)	(none)	$ git log --all --oneline --diff-filter=D -- 'document-portal_Central_NITDA_/index.html'
docs/forensic/177d992/01-architecture.md	30	tests/output-encoding.test.mjs	stale-reference	(none)	(none)	`tests/output-encoding.test.mjs` and `precision_auditor_v3.py` are dropped — the files have
docs/forensic/177d992/01-architecture.md	42	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	11:  <script src="config/config.local.js" onerror="void 0"></script>
docs/forensic/177d992/01-architecture.md	269	document-portal_Central_NITDA_/index.html	stale-reference	(none)	(none)	$ git log --all --oneline --diff-filter=D -- 'document-portal_Central_NITDA_/index.html'
docs/forensic/177d992/diagrams/01-architecture.mmd	11	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	LOCAL["config/config.local.js<br/>OPTIONAL - onerror=void 0<br/>git-ignored"]
docs/forensic/177d992/diagrams/01-architecture.mmd	73	index/submit/track/support/admin/404.html	stale-reference	(none)	(none)	DPIDX["index/submit/track/support/admin/404.html"]
docs/forensic/18e9f4d/00-provenance.md	150	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	resolves-inside-tracked-archive	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	(none)	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json
docs/forensic/18e9f4d/00-provenance.md	163	DGO_Targets_References/newack/unified-hub-ackflow.html	resolves-inside-tracked-archive	DGO_Targets_References/newack/unified-hub-ackflow.html	(none)	| 6 | `DGO_Targets_References/newack/unified-hub-ackflow.html` |
docs/forensic/18e9f4d/00-provenance.md	164	DGO_Targets_Platform/document-portal/js/data.js	resolves-inside-tracked-archive	DGO_Targets_Platform/document-portal/js/data.js	(none)	| 3 | `DGO_Targets_Platform/document-portal/js/data.js` |
docs/forensic/18e9f4d/00-provenance.md	243	tests/output-encoding.test.mjs	stale-reference	(none)	(none)	Six tools exist. `tests/output-encoding.test.mjs` and `precision_auditor_v3.py` do not
docs/forensic/18e9f4d/01-architecture.md	14	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	24:  <script src="config/config.local.js" onerror="void 0"></script>
docs/forensic/18e9f4d/03-build-deploy.md	87	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	resolves-inside-tracked-archive	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	(none)	> const MANIFEST = 'DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json';
docs/forensic/18e9f4d/03-build-deploy.md	134	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	and writes them, working, into `config/config.local.js` and
docs/forensic/18e9f4d/03-build-deploy.md	135	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	`ECM_ActivityHub_Portal/config.local.js`. The `.gitignore` entry prevents the *output* from
docs/forensic/18e9f4d/04-report.md	64	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	resolves-inside-tracked-archive	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	(none)	> const MANIFEST = 'DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json';
docs/forensic/18e9f4d/diagrams/01-architecture.mmd	10	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	LOCAL["config/config.local.js<br/>OPTIONAL, git-ignored<br/>onerror=void 0<br/>ONLY untracked runtime dep"]
docs/forensic/18e9f4d/diagrams/03-build-deploy.mmd	18	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	OUT1["config/config.local.js<br/>git-ignored OUTPUT"]
docs/forensic/18e9f4d/diagrams/03-build-deploy.mmd	19	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	OUT2["ECM_ActivityHub_Portal/config.local.js<br/>git-ignored OUTPUT"]
document-portal/config.example.js	4	document-portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	Copy this file to  document-portal/config.local.js  and fill it in. That file is
document-portal/config.example.js	5	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	git-ignored, exactly like config/config.local.js for the root platform.
document-portal/ds/styles/components/command-palette.css	6	docs/components/command-palette.md	resolves-inside-tracked-archive	DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/design-system/dgo-complete/docs/components/command-palette.md | DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/design-system/dgo-complete/docs/components/command-palette.md	(none)	docs/components/command-palette.md §9).
index.html	22	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	<!-- Runtime config: copy config/config.example.js → config/config.local.js and fill in
scripts/setup-local.mjs	16	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	* rotated, re-run with --force or edit config/config.local.js directly.
scripts/setup-local.mjs	27	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	resolves-inside-tracked-archive	DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json	(none)	const MANIFEST = 'DGO_Targets_References/NITDA_operations_manifest_ai_ready_UNREDACTED-1.json';
scripts/setup-local.mjs	132	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	writeIfAbsent('ECM_ActivityHub_Portal/config.local.js', portalCfg, 'ECM Portal config');
styles/app.css	503	evidence/SELECTOR_OWNERSHIP_REGISTRY.json	stale-reference	(none)	(none)	evidence/SELECTOR_OWNERSHIP_REGISTRY.json and asserted by typography-floor-contract. */
styles/dgo-design-system/colors_and_type.css	50	tests/baseline.json	stale-reference	(none)	(none)	referenced any of them: 400, 700 and 800 were already carried in tests/baseline.json as
styles/dgo-design-system/tokens/tokens.legacy-bridge.css	3	styles/tokens.css	resolves-inside-tracked-archive	DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/DGO_Digital_Operations_R11_4_0_Contract_Aligned_Runtime/styles/tokens.css | DGO_Targets_Platform/ECM_ActivityHub_Portal/Folder 5/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/DGO_Digital_Operations_R11_5_0_UI_Provisioned_Runtime/styles/tokens.css	(none)	short vars; the hardcoded styles/tokens.css is deleted. Values are preserved
styles/index.css	5	tests/tools/cascade-snapshot.mjs	stale-reference	(none)	(none)	tests/tools/cascade-snapshot.mjs: no sub-layer order is behaviour-preserving.
styles/index.css	15	tests/static/css-contract.mjs	stale-reference	(none)	(none)	tests/static/css-contract.mjs ratchets down. Until that reaches 0 the sheets stay in one
styles/index.css	16	tests/baseline.json	stale-reference	(none)	(none)	layer, and the shared-layer finding stays in tests/baseline.json as accepted, measured debt. */
tests/check-secrets.mjs	142	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	console.error('the tree — use config/config.local.js, which is git-ignored.\n');
